transcript_id	m_GR_in_01d_1.isoforms.results	m_GR_in_01d_2.isoforms.results	m_GR_in_01d_3.isoforms.results	m_GR_un_01d_1.isoforms.results	m_GR_un_01d_2.isoforms.results	m_GR_un_01d_3.isoforms.results	m_GR_in_02d_1.isoforms.results	m_GR_in_02d_2.isoforms.results	m_GR_in_02d_3.isoforms.results	m_GR_un_02d_1.isoforms.results	m_GR_un_02d_2.isoforms.results	m_GR_un_02d_3.isoforms.results	m_GR_in_04d_1.isoforms.results	m_GR_in_04d_2.isoforms.results	m_GR_in_04d_3.isoforms.results	m_GR_un_04d_1.isoforms.results	m_GR_un_04d_2.isoforms.results	m_GR_un_04d_3.isoforms.results	m_GR_in_07d_1.isoforms.results	m_GR_in_07d_2.isoforms.results	m_GR_in_07d_3.isoforms.results	m_GR_un_07d_1.isoforms.results	m_GR_un_07d_2.isoforms.results	m_GR_un_07d_3.isoforms.results	m_GR_in_10d_1.isoforms.results	m_GR_in_10d_2.isoforms.results	m_GR_in_10d_3.isoforms.results	m_GR_un_10d_1.isoforms.results	m_GR_un_10d_2.isoforms.results	m_GR_un_10d_3.isoforms.results	m_GR_in_15d_1.isoforms.results	m_GR_in_15d_2.isoforms.results	m_GR_in_15d_3.isoforms.results	m_GR_un_15d_1.isoforms.results	m_GR_un_15d_2.isoforms.results	m_GR_un_15d_3.isoforms.results	m_GR_in_20d_1.isoforms.results	m_GR_in_20d_2.isoforms.results	m_GR_in_20d_3.isoforms.results	m_GR_un_20d_1.isoforms.results	m_GR_un_20d_2.isoforms.results	m_GR_un_20d_3.isoforms.results	m_GR_in_25d_1.isoforms.results	m_GR_in_25d_2.isoforms.results	m_GR_in_25d_3.isoforms.results	m_GR_un_25d_1.isoforms.results	m_GR_un_25d_2.isoforms.results	m_GR_un_25d_3.isoforms.results
XM_003552145.5	0	9	17	7	7	5	5	9	6	5	8	2	14	10	24	14	7	5	21	14	17	31	28	28	15	18	62	14	23	18	15	8	21	13	14	18	5	3	6	6	11	11	31	36	26	20	45	24
XM_003552152.5	159.15	228.33	219	195.09	169.98	211.75	90.14	103.57	155	104.68	196	157.66	161.32	107.23	245.93	128.67	146.65	150.2	141	139	61	190.64	162.41	150.61	131.44	140.71	435.78	121.7	171.97	192.45	325	175.68	305	162	258.44	181.66	93.93	111.04	154.92	175	157.66	130.22	274.22	240.77	256.06	162.2	139.46	170.71
XM_003552176.5	265.26	370	437	312.33	277	282	119	153	267.62	154	238	230	181	104	237	150.27	174.3	187	117	146	51	182	138	184	65	86	256	75.62	106	111	63	29	84	152	193	181.55	36	27	58.93	175	199	139	66	76	105	199	177	193
XM_003552183.5	280	418	456	378	229	274	240	247	479	347	486	333	219	153	366	174	164	183	117	127	38	224	195	214	22	23	53	125	190	161	0	0	0	163	269	260	0	1	0	298	385	219	1	1	0	243	234	230
XM_003552196.5	17.18	21	19.18	15.63	9	10.11	1	6	2.19	7	6	7	1	0	0	0	2	2	0	0	2	3	1	2	4	12.37	35	5	1.21	0	1	0	0	2	0	2.24	1	2	5	5	12	7.48	0	0	1	2	0	1
XM_003552221.5	31	31.8	63.41	42	30	32	9	20	31	16	14	19	11	12	28	18	17	27	24	3	6	9	9	16	8	6	44.49	6	5	9	1	2	0	9	3	7	7.86	2	6	9	11	11	0	0	0	6	10	9
XM_003552225.5	20	32	31	31.76	33.48	24	10	18	29	26	41	23	11	23.96	27	20	14	25	16.27	26	10	52	26	31	14	8	25	12	17.71	7	0	0	0	23	37	37	3	0	4	18	18	15	0	0	1	13	18.48	14
XM_003552246.5	542	602	506	894	468	504	121	128	163	160	218	181	119	87	146	27	34	52	96	134	33	60	62	27	115	150	429	7	13	9	736	359	587	5	23	13	52	51	79	10	8	2	2242	1975	2210	34	27	36
XM_003552261.5	41.52	95.33	77.76	44.85	38.62	53.52	16	22	33	37.77	34	24	30.39	27.55	63.21	31.8	42.63	35.19	27	42.53	25	34.49	31	27.31	69.81	74.36	243.95	42.25	58.08	61.88	39.18	43	39	51.82	63.75	100	35.9	31.25	41.28	85.67	57.68	47.12	56.55	68	65.37	20.71	23.41	43.42
XM_003552286.5	25	47	52.44	43	24	37.48	21	26	55	24	32	40	33	19.52	42	21	39	43	44	38	23	55	46	55	14.46	7	34	22	37	27	6	5	3	47	119	81	1	1	1	73	40	48	1	0	0	51	70	61
XM_003552300.5	52.17	116.69	124.66	97.13	49.39	92	27.54	42.57	58	47.38	65	84.7	57.19	37.05	82.73	55.11	38	57.56	50	62.62	13	69.6	49	73.63	69.45	76	276.48	81.48	85.41	105.75	208.48	112	183	67.54	117.06	138.66	66.5	69	80.5	90.27	58.92	68.98	87	89.64	158.65	69.57	54.43	77
XM_003552312.5	130.57	213.9	208	202.65	113.67	157	78	119	134.15	105	158	160	109	98.28	139.57	114	128	137.6	93	95	23	89	107	71	104	111	378	65	86	84	65	38	79	106	145.32	192	55.75	43.25	67.76	153.59	193	130.15	78.54	71	89.49	82	129	106
XM_003552330.5	10	17	20	19.67	9.17	16	5	14	15	8	14	11	14	6.13	21	3	16	17	1	10	1	6	14	12	5	4	30	4	7	3	6	7	9	12	15	19	2	1	4	10	7	10.19	4	1	3	4	6	4
XM_003552332.4	64	140.73	95	64.46	62.55	67.51	38.58	43	50.48	47	62	58.48	54.58	46.73	71.25	41	50.62	48.51	39	32.52	13.43	59.63	65	52.62	62.98	88.19	252.59	41.22	31	36	61.48	58.65	41	51	103.69	78	43.08	36.58	52.15	65.77	52	47	41	49.53	76	23	35.53	30
XM_003552337.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003552363.5	258.27	316.42	344.28	234.26	191.83	173.17	141.46	207.46	280.42	190	264	271	90	76.94	161.35	158.81	172	207.49	196	169.75	60	274.15	228	215.8	406.11	531.25	1596.41	56	78	91	168	90	158	210	471.41	406.66	167	165.5	322.49	811.88	1051.82	658.92	474.69	390.88	526.61	137	153	141.41
XM_003552409.5	27	54	42	27	31	42	61	73	141	77	116	118	73	52	77	78	72	90	26	28	13	25	20	25	94	95	237	40	65	80	158	44	74	65	52	42	31	33	28	38	46	40	74	63	170	55	32	32
XM_003552410.5	143.02	218.99	185.1	150.74	112.16	131.56	50	68.58	142	91.6	104	130	73.32	54.44	135.45	85.53	90.33	72.24	50	62.57	19	63	59	60	48.58	46	147	14.29	20	29	21	6	3	124	173	181	7	6.37	15	198.77	140.3	153.29	1	3	3	103.76	79	93.39
XM_003552414.5	45.79	106.85	113	45	44.45	80	34	46.45	49	47.5	60	62	73	54	74.82	50	78	80	35	26	16	36	67	49	15	12	22	9.32	25	42	0	0	0	15	12	16	0	0	0	16	14.32	30	0	0	0	17	23	16
XM_003552428.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
XM_003552454.5	77.35	118	110.37	112	88	88	31	38	41	29	69	68.48	62	32.81	79.35	64.03	52	77	62	59	24	51	36	62	78.52	91	282	42.47	55	45	90	38	82	51	90.65	94	34	33	56	74	61	65	64	54	95.39	38	38	59
XM_003552467.5	12	30.42	14.92	36	26.27	32.68	0	0	23	19	25	16	26	25.18	31	43	36	42	166.04	155.58	65.21	24	7.56	24.8	3510.53	3493.27	11037.47	81.99	44.44	102.59	9964.72	4273.75	8214	13.65	25	33	4215.9	4286.62	4897.88	15.12	9.86	11	3347.19	2954.01	4212.51	10	6	8
XM_003552485.5	35	54	62	38	37	42	18	30	39	26	38	34	45	24	49	30	31	37	25	20	20	28	34	28	9	8	39	12	16	23	2	2	2	15	71	69	0	0	0	53	79	61	2	0	3	56	35	44
XM_003552500.5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	68	75	246	0	0	0	1966	869	1611	0	0	1	2739	3164	5570	2	1	1	5560	4841	6118	1	2	0
XM_003552506.5	76.64	157.54	144.6	137.6	74.88	133.53	52	68	110.64	58.19	102	77	59.07	52.97	94.57	75.93	80	94.12	61.85	78.76	42.82	78	65.45	80.08	114.65	102.3	312.82	31.1	54.49	39.07	127	51	92	122.02	115.58	139.16	67.97	67.05	69.63	51.28	85.63	45.17	92.27	59.83	91.76	53.67	57.09	68.76
XM_003552508.4	26	68	72	49	43	29	75	117	232	126	167	161	85	63	67	57	88	134	28	26	10	48	42	46	97	97	161	38	79	84	114	60	95	44	89	98	29	21	41	60	53	56	26	29	83	60	36	58
XM_003552524.5	167	243.79	283.18	309.17	207.83	262.79	137	216.95	317	191	267	285	287.46	248.43	422.7	263.45	251.72	337	343	350.39	156	396	348	349.91	158.53	166	397	134.49	181	239	546.8	422	611	363	539.71	483	87.29	94.01	138.5	329.54	282	222	128.23	111	169	342.71	394.87	326.82
XM_003552531.4	23	26	30	19	31	27	22	26	32	19	36	17	28	20	25	19	36	41	16	21	7	33	28	31	44	43	95	36	56	82	49	15	26	26	24	40	13	17	25	37	30	35	53	42	43	33	30	34
XM_003552539.5	342.12	613	831.18	666.08	596.12	803.3	681	999	1623.53	948	1483	1138.57	1509.63	926.05	1974.67	1056.66	1187	1354.79	1207.88	1073.86	487	1125	978	1093.66	340.44	315	846	1367.47	1980.6	2201.74	593	264	402	976	1601	1523	67.64	63	118.73	837.14	732.8	573.79	104.63	86	135	2169.43	2043.12	2206.46
XM_003552544.5	325.72	519.89	563.83	560.04	418.84	494.52	101	163	252	181	337.37	319	94.25	81.83	177	98	85	113.3	28	26	10	80	46.13	77	40	41	121	38	49	42.16	19	3	36	15	28	30	10.01	19.12	24	29	37	24.1	30	17	34	34	48	40
XM_003552608.5	400.86	660.97	482.93	408.72	288.4	354.03	95.58	173	187	146	263	196	112.09	102.47	205.89	117.14	135	100.5	244	256.63	111.39	83	80	55	1103.79	1639	4995.77	11	19	23	907	428.71	835.99	276	517	495.21	853.87	1036.19	1412.64	679.83	843.71	540.23	1218.96	1080.35	1245.46	175	191.68	179
XM_003552609.5	260	313.88	319.07	256.74	201.58	241.18	63	87	147.53	77	139	147	142.51	103.42	210.96	145.83	132.43	115.44	136	126.23	68	215	185	172.56	187.98	210	736.99	126.49	166	163	209	111	234.49	67	130.77	120.41	81.03	66.98	131.33	117.98	153	66.07	250.61	221	228.48	144.55	110.95	114
XM_003552613.5	8	34	29	44.14	21	27	17	15	22	18.71	27	17	19	16.4	30	7	17	15	74	71	19	17	30	18.3	272.12	310.59	802.56	17.42	19.28	16	209	166	240	85	86	133	52.83	36	44.76	40.67	41	40	26	46	47	41	37	26
XM_003552624.5	320.79	459.25	503.69	385.76	305.36	376.75	162.6	168.7	253.09	175.72	282.82	252	160.21	152.23	266.96	149.19	143	151.7	133	145.54	65	171.59	173	150	156.71	184.62	553.23	79.28	108.64	104.61	120	40	121	131.55	239.08	243.59	66.39	79.12	113.59	207.57	195.16	135.42	81	65.57	94.58	108	125.05	106
XM_003552634.5	105.47	195.49	160.48	162.32	113.2	160	46	53	93	69	112.39	86	92.27	69.66	133	77.5	73.39	85	86	114	45	99	79	88.38	80.82	129	339.45	42.44	41	34	165.49	104	163	141.75	266	277	69.88	56.24	91.82	154.73	191.52	150.6	91	97	91.4	127.14	125.56	121.59
XM_003552655.5	1319	2598	3174	2532	2164	2951	1908	3057	4887	2657	3479	2929	3867	2965	5685	3306	3851	4221	3795	4202	1453	3913	3258	3391	2495	2642	6588	3143	4541	4655	3931	1832	2726	2691	4115	3703	859	824	907	3043	2103	1997	641	579	1017	3484	3224	3340
XM_003552656.5	325.98	576.4	631.73	499.64	389.48	485.2	114.41	185.73	255.9	141.99	252.7	167.28	317.95	229.43	409.35	216.88	251.9	274	282	343.79	100	453.41	354.14	352.93	93.38	79.56	298.13	160.55	238.6	226.54	211	156.49	228.88	216.68	384	330.39	58.01	41.07	89.87	284.6	271.45	228.9	115.24	125.7	115.83	278.79	295.86	292.52
XM_003552670.5	32	101	159	90.96	99	244	160	191.98	322	142	194.99	133	301.99	238.99	391	203	201	221	204	172	79	230	198	245	55	49	140	446	669.99	554	100	48	105	1	0	1	10	4	5	2	10	4	9	7	12	46	45	45
XM_003552717.5	19.4	45	35	25.44	22	30	10	15	43	19	23	20	22	12.13	33	13	17	30	17	26	6	16	11	28	28.46	33	105	14	29	35	9	2	22	29	30	22	20	24.57	19.84	66	54	50.59	13	12.87	13	20	11	20
XM_003552740.5	191	323	216	290	134	168	80	98	161	110	163	115	78	49	118	71	89	124	54	78	17	110	76	63	121	144	380	55	73	83	411	237	308	136	218	214	163.74	193.96	243.41	583	400	350.68	365	299.43	401	164	138	128
XM_003552747.5	168	278	269	191	138	218	83	121	130	106	115	78	121	106	174	100	86	126	72	102	31	92	82	116	111.03	103	399.03	43	62	67	123.03	62	156	43	89	79	38.04	48.03	59.02	34	71	36.42	62.02	51	45.02	53	49	60
XM_003552754.5	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003552772.5	62	130	81	111.68	80.63	82	40	50	82	45	79	61	242.52	181.97	420.24	247	244.94	281.46	474	457.07	187.99	476	423.49	391	166	161	574	241.21	339	299.98	35	13	19	532	1048	969.44	27.66	55	67.35	686	720.27	537.48	28	22	19	1755	1439.7	1454.09
XM_003552814.5	306.3	475	472	398.72	297.24	339	123	172	261	170	260	279	216.64	159.75	246.64	185	187	225	129	146	63	207.25	181	173	151.56	168.51	463.5	47	59	68.52	316.67	184	279	211	264	261	77.67	91.63	108.59	195.96	188	137	131	113	189	112	131.68	120
XM_003552838.5	8	14	15	30.39	9	10	2	5	11	15	14	7	7	10	10	3	12	7	6	4	0	12	5	4	2	12	24	6	1	4	8	4	1	18	27	24	3	2	5.37	22	27	25.41	1	2	5	3	6	8
XM_003552855.5	1	0	3	1	0	2	0	0	0	0	0	1	0	2	0	0	0	0	7	8	6	0	0	4	66	68	226	1	4	2	61	48	67	29	43	53	11	11	29	75	90	50	10	4	14	6	2	1
XM_003552867.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003552868.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003552873.5	1	3	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	2	0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	1	0	0	2
XM_003552875.5	9	9	8	12	3	5	6	4	10	14	21	10	2	3.1	7	0	2	10	1	2	5	3	6	4	0	1	3	1	0	1	0	0	0	15	16	17	0	0	2	17	20	19	0	0	0	13	3	5
XM_003552906.5	7	19	13	20	6	17	4	5	12	7	5	4	5	3.31	10	1	8	11	4	14	2	8	9	4	8	10	33	2	11	10	6	0	3	28	34	39	2	0	6	63	89	46	3	2	2	13	6	11
XM_003552915.4	38	76	80	45	59	49	27	52	53	51	71	49	47	52	75	47	46	58	31	30	12	47	41	64	54	43	87	39	59	80	25	27	40	42	47	48	19	19	19	55	45	42.59	51	33	55	48	50	42
XM_003552925.5	109.9	150.9	211.27	208.15	202.86	161.09	153.72	183.94	259.03	180.06	250.67	206.06	256.49	239.34	246.89	124.63	135.47	157.32	157.56	149.93	48.45	187.08	199.03	225.14	45.39	44.65	96.62	76.48	113.63	91.67	46	41	47	142.61	334	284.92	15	13.92	21.8	105.33	113.8	98.95	35	23.69	61.3	225.07	250.24	229.48
XM_003552963.5	793.21	1191.33	1263.68	926.54	668.89	934.4	448.7	645.08	988	643.14	898	741	584.27	439.14	815.83	496.83	618.56	628.65	635	531.12	251	700	634.13	662.15	898.1	1001.54	2955.74	522.32	717.26	749.33	1049.94	605	1068	503	779.58	663	376.5	425.4	482.77	512.47	621.18	451.61	753	640.77	881.02	444.79	439.61	471
XM_003553034.4	157.66	212	233.71	244	133.69	184.49	82	146	208	137	184.6	160	194.74	123.18	310.55	156.03	152.67	171	169	158.74	64	295	179	215	115	140	426	95	123	161	352	186	255	238.64	420.4	407.35	55.58	54.5	104.82	213.04	237.55	157.27	256	232.73	284.27	268.26	253.66	218.19
XM_003553039.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553072.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553073.4	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	1.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08	0	0	1.09
XM_003553089.5	185.33	312.98	300.34	256.56	211.08	236.91	107.03	123	207.24	156	251.68	222	152.29	118.92	182.68	112.45	133.32	191	89.61	127.69	40	144	116	127	50	51	132.24	67.63	66	81.79	56	25	47	311	535.65	447.5	20.37	34	26	332.12	263.83	240.09	24.51	28.56	60.7	206.03	207.08	212.3
XM_003553097.5	11	26	27	23	8	20	5	15	22	9	18	8	19	14	28	15	11	11	3	9	4	20	14	14	7	10	31	16	45	27	26	10	17	18	19	22	5	3	11	11	13	7	10	14	20	17	19	10
XM_003553101.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553142.5	487.63	839	908.09	636.42	491.54	671.74	381	564.6	884.56	599.55	870.63	683.11	548.25	368.59	776.53	498.19	538.1	609	407	420.24	136	555.72	506.49	511	553.7	655	1777.66	519.82	690.88	767.5	575.27	256	391	386	719.62	578	207.55	275.14	308.52	480.42	415.53	339.52	363	303.45	544.44	346	379.86	346.54
XM_003553171.5	34	41	42	30	22	31	10	21	28	29	51	27	55	74	85	18	26	44	46	46	23	66	68	55	1	0	3	25	43	26	8	2	15	23	62	40	0	0	0	16	9	5	12	16	15	4	6	1
XM_003553201.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553230.5	0	4	0	2	1	0	0	1	4	3	2	1	0	2.16	2	4	4	3	0	4	1	1	3	0	3	0	11	0	0	2	0	0	2	0	0	3	0	1	0	6	2	7	0	0	0	2	1	2
XM_003553256.4	3	10	7	6	3	5	3	3	4	0	5	5	1	0	2	1	3	4	16	2	5	8	5	7	4	8	27	0	0	2	6	3	0	4	7	11	4	2	6	2	11	3	0	2	4	4	0	2
XM_003553271.5	45.57	68	38	59	21	47.37	9	12	21	12	25	22	14	14	22	19	23	33	13	17	3	24	31	31	26	23	58	7	11	7	12	19	33	32	62.22	32	12	5	6	11	35	22	4	8	12	22	21	21
XM_003553307.5	21.76	38.27	50.63	24.26	27.05	41	11	21.97	29	15	23	20	14.59	3.49	20.61	11.87	7.27	11.34	42	39.73	12	12	8	8	292.47	333.71	1048.33	8.76	9	26.82	519.4	316.02	516.66	24	30	31	126.88	163.94	209.21	21.3	15.77	17	224.71	205.79	243.91	22	25	23
XM_003553324.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553348.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	18	25	61	0	0	0	9	19	22	0	0	0	8	23	17	0	0	0	8	13	18	0	0	1
XM_003553385.5	40	54	36	32	15	29	15	13	12	9	27	24	29	15	22	17	12	19	2	4	6	11	8	8	2	4	10	11	4	6	2	3	2	13	33	28	1	0	0	41	48	35	0	0	0	12	9	13
XM_003553429.5	51.6	93.48	73.66	65.13	50.84	82.92	26.63	58.87	71.38	67.18	96.54	81.63	58.57	37.3	85.25	62.74	58.55	76.14	53.21	48.23	21.58	86.65	58	91.69	79.44	89.91	227.35	80.2	91.79	109.17	88.71	45.74	69	62.24	103.01	141.84	23.84	35.08	43.55	117.55	78.31	80.58	58.59	36.85	93.47	68.61	75.27	72.23
XM_003553462.4	198.68	344.08	367.43	215.43	186.39	224.78	56	112.43	157.87	111.46	167	164	103	68.42	148.47	123.01	134.45	143.38	15	32	11.58	102.6	65	68	51.7	50	163.61	44	52	74	6	18	29	15	8	31	43.11	44	63.77	41	63	29	44	30	31	29	26	31
XM_003553473.5	199	349	339	272	221	251	122	182	339	215	277	243	265	231	406	219	200	242	232	171	65	400	317	339	31	41	138	282	417	416	99	67	76	153	241	210	18	22	33	131	122	80	17	26	17	154	162	182
XM_003553481.5	75	117	159	116	74	61	47	58	124	74	91	87	45	39	66	49	48	57	46	47	15	64	32	48.44	57.23	69	175	25	67	61	37	15	10	41	85	75	27	15	16	72	82	67	65	29	38	71	62	68
XM_003553508.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553517.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553519.5	52	70	84	79	44	46	50	51	70	59	81	61	44	30	60	37	35	42	14	14	5	36	31	22	6	6	20	30	36	20	0	0	0	17	33	28	0	0	1	33	35	26	0	0	0	22	28	26
XM_003553527.5	93	130	110	133.94	78.64	93.99	50	67	81	98	141.84	153	63.34	44.31	124	54	58	55	49	54.54	25	114.6	80	93	0	0	5	17.01	39	19	0	1	1	153	237.84	251	0	0	0	49	60	34	0	0	3	83	67.74	81
XM_003553529.5	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	19	3	0	0	0	12	5	9	0	0	0	4	3	1
XM_003553568.1	9	23	24	8	10	9	27	28	79	46	49	44	54	31	57	48	44	57	15	11	4	24	16	24	23	16	32	5	10	16	75	30	35	25	24	21	11	6	8	41	22	14	8	15	23	36	47	57
XM_003553572.5	4	7	14	9	9	18	4	9	12	6	6	17	7	7	11	8	15	26	1	2	1	8	5	5	0	1	0	5	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
XM_003553590.5	29	43	42	32	27	36	27	34	43	33	42	35	28	22.69	40	15	19	33	19	31.5	15	25	27	22	23	23	77	11	27	33	52	23	25	64	74	57	10	12	19	57	39	33	20	22	46	32	36	35
XM_003553602.5	241	366	337	254.09	190	281	52	76	134	76	122	131	100	77.04	183	129.07	131	142	81	99	52	85	84	64	411	422	1413	33	40	53	316	248	350	37	85	72	328	332	386	125.04	143	116.05	341	360	399	53	60	84
XM_003553626.5	3	4	0	4	1	2	0	2	0	1	0	1	0	0	0	3	5	3	1	0	1	2	1	2	3	1	0	0	1	8	4	3	2	0	0	0	1	2	3	0	2	2	11	14	16	3	5	0
XM_003553640.5	38.35	64.7	58.66	51.9	31.28	45.27	11.63	10	36	23.67	22.61	24	22.06	14.65	28	9	11.31	25	13	9	7	24	24.61	12	0	2	5	5	13	8	1	1	1	11	19	24	0	0	3	8	12.46	6	1	0	0	8	20.84	14
XM_003553681.5	4	12	12	14	8	7	0	3	2	7	2	3	6	2	11	11	4	7	6	1	3	3	4	2	0	1	1	1	2	1	0	0	0	0	3	6	0	0	0	1	4	1	0	0	0	8	5	1
XM_003553684.5	4	4.05	11	7	3	12	3	7	1	3	4	4	0	5	4	1	3	3	6	1	1	3	3	4	0	0	0	0	0	0	0	0	0	5	8	22	0	0	0	1	5	1	0	0	1	6	4	5.28
XM_003553701.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553708.5	1	0	2	0	1	1	0	1	0	1	0	2	5	1	4	0	0	0	22	29	15	2	0	2	229.39	291	720	0	0	1	648	398	624	4	1	0	256.56	264.11	292.59	0	0	0	155	159	210	1	2	2
XM_003553709.5	32.18	54.34	52	44.68	29.27	31.15	19	40	79	30	51.09	43	20	23.57	27.06	17.13	36	45	23	15	6	19.09	20	25	65	66.27	145	10.03	10	19.04	79	21	46	18	30	44	21	24	17	59.19	42.22	34	66	56	63	13	10.12	17
XM_003553728.5	4	2	5	2	6	5	2	2	5	1	2	3	4	2	8	3	11	8	9	13	2	3	11	5	4	12	23	3	13	7	13	3	3	0	0	1	5	3	5	2	2.17	1	19	21	26	5	2	1
XM_003553741.5	33	82.46	82.49	54	66.57	72	13	37	53	25	49	34	78.48	41	129.55	66	82	79	109	73	41	147.01	150	131	41	42	108	170.18	191	210	65	62	108	63	87	86	9	16	19	28	30	21.28	23	26	20	54	58.38	63.44
XM_003553745.5	1	6	9	2	7	11	1	5	7	3	1	0	10	3	17	7	6	10	11	21	10	14	3	3	10	4	20	7	6	11	10	1	2	0	0	1	0	0	0	0	2	0	1	1	3	3	6	8
XM_003553748.5	186.3	338.7	264.67	239.66	184	147.6	146	141	260	190.61	276.63	210	250.69	202.02	316.34	191.65	239	298	214	222.82	72	350	267	271	151.75	201	578	357.15	484	526	140	68	114	376	593	539	69.68	86.36	92.39	423.54	426	336.79	96	94	106	336	292.71	295.68
XM_003553770.5	193.44	443.71	503.04	470.89	343.48	400.3	257.41	330.95	555.08	366.68	597.27	485.29	795.51	565.05	980.8	589.9	551.98	679.71	870.02	901.25	312.06	1015.98	713.95	811.91	167.11	140.34	458.34	567.22	818.38	675.51	278	182.69	295.13	422.28	652.94	564.49	36.85	33.4	78.32	334.23	315.03	272.98	40.66	39.28	48.18	832.87	873.67	852.64
XM_003553773.5	77.08	117.16	104.96	54.32	44.84	49.67	12.01	29.05	23.92	46.32	58.73	42.71	75.49	52.16	131.96	42.61	80.8	59.29	129.98	129.41	64.94	200.42	146.05	134.09	20.83	18.66	74.54	51.85	76.36	123.49	58	45.31	81.87	29.72	51.06	71.51	16.08	24.96	26.68	159.77	128.97	107.5	14.34	11.72	7.82	30.54	34.33	79.36
XM_003553781.5	154.44	247.81	241.05	232.02	144.97	160.99	55.15	79.83	139.45	67.25	104.17	95.33	90.3	71.76	95.4	59.43	53.51	110.29	111.67	110.23	33.59	146.37	126.12	134.7	86.68	83	221.72	31.6	66.33	48.54	86.45	78.45	109.41	270.11	365.91	318.16	52.23	49.8	63.11	304.2	281.09	264.37	57.23	66.93	73.33	109.31	109.11	106.3
XM_003553783.5	19	32	44	33	40	25	3	19	21	12	13	24.65	23	21	18	11	19	17	16.58	8	10	29	17	16	14	14	38	14	14	17	36	20	65	31	102	49	7	8	3	17	21	12	10	9	13	14	10	10
XM_003553801.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_003553864.3	0	0	0	0	0	0	0	0	0	0	0	0	1.05	0	0	0	0	0	0	0	1	0	0	1	0	0.35	0	0	0	0	0	0	1.64	0	0	0	2.97	0	0	1.01	1	0	0	0	0	0	0	0
